question,type,category,level,option,correctAns,image_filename
"Sebuah keluarga ingin mengemas apel sesuai aturan sebagai berikut: 
1. Apel ditaruh di kantong. Setiap kantong diisi dengan 8 apel. Jika tersisa kurang dari 8 apel, apel dibiarkan tidak dikemas. 
2. Kantong akan dimasukkan ke kardus, Setiap kardus berisi 8 kantong. Jika tersisa kurang dari 8 kantong, kantong yang tersisa tidak dimasukkan ke kardus. 
Apabila mereka panen 275 apel. Ada berapa banyak apel yang tidak dimasukkan ke kantong?",multiple_choice,PROFILING_PEDAGOGY,1,"[""6"", ""1"", ""7"", ""3""]",3,
"Terdapat 12 spot parkir dengan kode 1 hingga 12 dengan ketentuan spot yang terisi sebagai berikut:
Senin -> 1 - 3 - 6 - 9 - 11
Selasa -> 1 - 4 -10 - 11 - 12
Berapa jumlah spot parkir yang tidak terisi pada hari senin dan selasa?",multiple_choice,PROFILING_PEDAGOGY,1,"[""3"", ""6"", ""4"", ""5""]",4,
"Apabila terdapat 4 kaleng cat dengan warna sebagai berikut:
Merah (M) -> Cukup untuk 5 pagar
Hijau (H) -> Cukup untuk 3 pagar
Kuning (K) -> Cukup untuk 7 pagar
Biru (B) -> Cukup untuk 2 pagar.
Urutan pengecatan -> M-H-K-B-dst
Berapa pagar yang dapat dicat apabila tidak boleh ada pagar berdampingan dengan warna yang sama?",multiple_choice,PROFILING_PEDAGOGY,1,"[""8"", ""17"", ""15"", ""5""]",15,
,multiple_choice,PROFILING_PEDAGOGY,1,"[""Apakah lengan panjang"", ""Apakah ada kancingnya"", ""Apakah ada resletingnya"", """"Apakah ada sakunya""""]",Apakah ada kancingnya,4.png
,multiple_choice,PROFILING_PEDAGOGY,1,"[""2"", ""3"", ""5"", ""Tidak mungkin mengunjungi semua petak""]",3,5.png
"Bella mempunyai banyak balon. Ia selalu menaruh balonnya dalam posisi sebuah barisan sehingga urutan warnanya sama jika dilihat dari ujung kiri ke kanan, maupun dari ujung kanan ke kiri. Sayangnya, ia hanya bisa melihat 4 warna berbeda yaitu hijau (G), kuning (Y), merah (R) and biru (B). Bagi Bella, ungu (P) tampak sama dengan kuning (Y). Barisan balon manakah yang urutannya terlihat sama di mata bella?",multiple_choice,PROFILING_PEDAGOGY,2,"[""YPBGBYP"", ""GRYPYPG"", ""BGRYPGB"", ""PGGGBGY""]",YPBGBYP,
,multiple_choice,PROFILING_PEDAGOGY,2,"[""7_a.png"", ""7_b.png"", ""7_c.png"", ""7_d.png""]",15,7.png
"Ali mengumpulkan sejumlah batang kayu dengan panjang 10m dan ingin memberikan batang kayu dengan jumlah sesedikit mungkin kepada Joni.
Apabila Joni membutuhkan 7 batang kayu dengan panjang 4m dan 7 batang kayu dengan panjang 3m, berapa banyak kayu paling sedikit yang perlu dikumpulkan oleh Ali?",multiple_choice,PROFILING_PEDAGOGY,2,"[""YPBGBYP"", ""GRYPYPG"", ""BGRYPGB"", """"PGGGBGY""""]",YPBGBYP,
,multiple_choice,PROFILING_PEDAGOGY,2,"[""A"", ""B"", ""C"", ""D""]",B,9.png
,multiple_choice_image,PROFILING_PEDAGOGY,2,"[""10_a.png"", ""10_b.png"", ""10_c.png"", ""10_d.png""]",10_c.png,10.png
"Apabila terdapat 3 baris bunga dengan urutan sebagai berikut:
1. pagar - A - B - C - D
2. pagar - A - C - B - A
3. pagar - D - B - A - C
Manakah urutan bunga yang sesuai apabila bunga B harus berada lebih dekat dengan pagar dibandingkan bunga C",multiple_choice,PROFILING_PEDAGOGY,2,"[""Baris 1"", ""Baris 1 dan 2"", ""Baris 1 dan 3"", ""Semua baris""]",Baris 1 dan 3,
"Terdapat sebuah kata dengan contoh penulisan sebagai berikut:
1. A
2. B
3. C
4. ABA
5. CBC
Manakah dari opsi jawaban berikut yang tidak sesuai dengan contoh penulisan yang ada?",multiple_choice,PROFILING_PEDAGOGY,2,"[""BBBABBBB"", ""AAA"", ""CBAABC"", ""BCABBACB""]",BBBABBBB,
"Sebuah toko bunga memiliki 4 jenis bunga dengan kode A, B, C, dan D serta 3 warna dengan kode 1, 2, 3. Apabila terdapat pembeli dengan keinginan sebagai berikut:
1. Setiap warna muncul 2 kali
2. Tidak boleh ada bunga berjenis sama dengan warna yang sama
3. Paling banyak hanya 2 bunga untuk tiap jenisnya pada satu rangkaian
Opsi rangkaian mana yang sesuai dengan keinginan pembeli tersebut?",multiple_choice,PROFILING_PEDAGOGY,2,"[""A1 - B2 - B1 - C3 - D2 - C1"", ""A2 - B2- A3 - B1 - D3 - A1"", ""A1 - B2 - D3 - D3 - B1 - C2"", ""A1 - B2 - C3 - D3 - B1 - D2""]",A1 - B2 - C3 - D3 - B1 - D2,
"Beba ingin memakan permen loli sebanyak mungkin. Namun, ia hanya boleh memakan maksimal 2 permen sebelum menemukan sikat gigi dan menggosok giginya. Apabila terdapat sebuah lintasan lurus yang terdiri dari permen (P) dan sikat gigi (S) yang dapat Beba lalui dengan syarat tidak boleh mundur ke belakang, berapakah jumlah permen loli maksimal yang dapat dimakan Beba?
Lintasan:
mulai - P - S - P - P - S - S - P - P - P - S - P - selesai",multiple_choice,PROFILING_PEDAGOGY,2,"[""3"", ""5"", ""6"", ""7""]",6,
,multiple_choice,PROFILING_PEDAGOGY,2,"[""3"", ""4"", ""6"", ""7""]",3,15.png
,multiple_choice,PROFILING_PEDAGOGY,2,"[""INFORMATION IS COOL"", ""INFORMATICS IS COOL"", ""MATHEMATICS IS COOL"", ""INFORMATION SECRET""]",INFORMATICS IS COOL,16.png
,multiple_choice,PROFILING_PEDAGOGY,2,"[""1 batu putih"", ""2 batu putih"", ""3 batu putih"", ""tidak peduli berapapun batu""]",3 batu putih,17.png
,multiple_choice_image,PROFILING_PEDAGOGY,2,"[""18_a.png"", ""18_b.png"", ""18_c.png"", ""18_d.png""]",18_c.png,18.png
,multiple_choice_image,PROFILING_PEDAGOGY,2,"[""19_a.png"", ""19_b.png"", ""19_c.png"", ""19_d.png""]",19_b.png,19.png
,multiple_choice_image,PROFILING_PEDAGOGY,2,"[""20_a.png"", ""20_b.png"", ""20_c.png"", ""20_d.png""]",20_b.png,20.png
,multiple_choice,PROFILING_PEDAGOGY,2,"[""4"", ""5"", ""6"", ""7"", ""8""]",7,21.png
,multiple_choice,PROFILING_PEDAGOGY,2,"[""Start       
Ulangi 4{            
Ulangi 4{Tanam; Maju(2)},            
KeKanan(90)}  
Stop "", ""Start       
Ulangi 4{            
Ulangi 4{ Tanam, Maju (2)},            
KeKiri(90)}  
Stop "", ""Start       
Ulangi 4{            
Ulangi 4{ Maju (2), Tanam },            
KeKiri (90)}  
Stop "", ""Start       
Ulangi 4{            
Ulangi 4{ Maju (1), Tanam },            
KeKanan (90)}  
Stop ""]","Start       
Ulangi 4{            
Ulangi 4{Tanam; Maju(2)},           
KeKanan(90)}  
Stop",22.png
